"Iteration","LogProbability","CurrentDecryptedText....current.decryted.text","CorrectText....correct.text"
298,-152.952560530786,"rcxc hi iayc ibyquc sczs","here is some sample text"
299,-152.952560530786,"rcsc hi iayc ibyquc xczx","here is some sample text"
300,-152.952560530786,"zcsc hi iayc ibyquc xcrx","here is some sample text"
301,-152.952560530786,"zcsc hi iayc ixyquc bcrb","here is some sample text"
302,-154.348545326214,"zchc si iayc ixyquc bcrb","here is some sample text"
303,-154.348545326214,"zchc si iayc ixyquc bcrb","here is some sample text"
304,-154.348545326214,"zcmc si iayc ixyquc bcrb","here is some sample text"
305,-180.218266945586,"zcmc sy yaic yxiquc bcrb","here is some sample text"
306,-180.218266945586,"zcmc sy yawc yxwquc bcrb","here is some sample text"
307,-180.218266945586,"zcmc sy yawc yxwquc kcrk","here is some sample text"
308,-180.218266945586,"zcmc sy yawc yxwquc pcrp","here is some sample text"
309,-180.218266945586,"zcmc sx xawc xywquc pcrp","here is some sample text"
310,-180.218266945586,"zcmc sx xawc xywquc pcrp","here is some sample text"
311,-180.218266945586,"zcmc sx xawc xywquc icri","here is some sample text"
312,-180.218266945586,"zcmc sx xawc xywquc icri","here is some sample text"
313,-180.218266945586,"zcmc sx xawc xywquc icri","here is some sample text"
314,-180.218266945586,"zcmc sx xawc xywguc icri","here is some sample text"
315,-180.218266945586,"zcmc sx xawc xywguc icri","here is some sample text"
316,-180.218266945586,"zcmc sx xawc xywguc icri","here is some sample text"
317,-180.218266945586,"zcmc sx xawc xywguc icri","here is some sample text"
318,-180.218266945586,"zcmc sx xawc xywguc icri","here is some sample text"
319,-156.257051755747,"zcmc ax xswc xywguc icri","here is some sample text"
320,-156.257051755747,"zcmc ax xswc xywguc icri","here is some sample text"
321,-156.257051755747,"zcmc ax xswc xywguc icri","here is some sample text"
322,-156.257051755747,"zcmc ax xswc xywguc lcrl","here is some sample text"
323,-156.257051755747,"zcmc ax xsdc xydguc lcrl","here is some sample text"
324,-156.257051755747,"zcmc ax xsdc xydfuc lcrl","here is some sample text"
325,-156.257051755747,"zcmc ax xsdc xydfuc qcrq","here is some sample text"
